50;Welches ist das größte Säugetier der Welt?;Blauwal;Elefant;Giraffe;Pinguin
49;Wie nennt man einen männlichen Hund?;Rüde;Katze;Hengst;Stier
48;Was ist die Hauptstadt von Deutschland?;Berlin;Paris;London;Rom
47;Welche Farbe hat eine reife Banane?;Gelb;Grün;Rot;Blau
46;Wie viele Finger hat eine Hand?;5;4;6;7
45;Was ist die Hauptzutat in Pizza?;Teig;Tomaten;Käse;Salami
44;Welcher Planet ist der dritte in unserem Sonnensystem?;Erde;Mars;Venus;Jupiter
43;Was ist die Hauptzutat in Schokolade?;Kakao;Zucker;Milch;Nüsse
42;Wie nennt man die Spitze eines Berges?;Gipfel;Tal;Hang;Kamm
41;Was ist die Hauptzutat in Spaghetti Bolognese?;Hackfleisch;Tomatensoße;Nudeln;Käse
40;Welches Tier ist das Symbol für Weisheit?;Eule;Affe;Fuchs;Katze
39;Wie nennt man die fliegenden Insekten, die Licht anzieht?;Motten;Fliegen;Bienen;Käfer
38;Was ist die Hauptzutat in einem Sandwich?;Brot;Schinken;Käse;Tomate
37;Welches Instrument hat schwarze und weiße Tasten?;Klavier;Gitarre;Geige;Trompete
36;Welches ist das größte Meer der Welt?;Pazifik;Atlantik;Indischer Ozean;Arktischer Ozean
35;Was ist die Hauptzutat in einer Limonade?;Zitrone;Wasser;Zucker;Salz
34;Welches ist das kleinste Säugetier?;Zwergspitzmaus;Fledermaus;Maus;Hamster
33;Wie nennt man einen weiblichen Hund?;Hündin;Katze;Stute;Kuh
32;Was ist die Hauptzutat in einer Salatsauce?;Öl;Essig;Senf;Salz
31;Welcher Monat hat 28 Tage?;Alle;Februar;Januar;März
30;Wie nennt man einen jungen Hund?;Welpe;Kätzchen;Fohlen;Küken
29;Was ist die Hauptzutat in einem Omelett?;Ei;Gemüse;Käse;Schinken
28;Welches ist das kleinste Bundesland in Deutschland?;Bremen;Hamburg;Berlin;Saarland
27;Was ist die Hauptzutat in einem Hamburger?;Fleischpatty;Brot;Käse;Salat
26;Welches Instrument wird mit den Füßen gespielt?;Orgel;Klavier;Gitarre;Geige
25;Was ist die Hauptzutat in einer Suppe?;Brühe;Gemüse;Fleisch;Nudeln
24;Welcher Tag kommt nach Montag?;Dienstag;Mittwoch;Donnerstag;Freitag
23;Was ist die Hauptzutat in einem Käsekuchen?;Käse;Ei;Zucker;Mehl
22;Wie nennt man das Zuhause von Bienen?;Bienenstock;Nest;Bau;Höhle
21;Was ist die Hauptzutat in einem Obstsalat?;Obst;Zucker;Joghurt;Nüsse
20;Welcher Planet ist der zweitgrößte in unserem Sonnensystem?;Venus;Mars;Erde;Jupiter
19;Was ist die Hauptzutat in einem Hotdog?;Wurst;Brot;Senf;Ketchup
18;Wie nennt man das Zuhause von Ameisen?;Ameisenbau;Nest;Bienenstock;Loch
17;Welches ist das schnellste Landtier?;Gepard;Löwe;Pferd;Giraffe
16;Was ist die Hauptzutat in einem Apfelkuchen?;Äpfel;Mehl;Zucker;Butter
15;Wie nennt man einen männlichen Katzen?;Kater;Hund;Hahn;Bock
14;Welches ist das größte Land der Welt?;Russland;China;USA;Kanada
13;Was ist die Hauptzutat in einem Caesar-Salat?;Romanasalat;Croutons;Parmesan;Dressing
12;Wie nennt man das Zuhause von Fischen?;Aquarium;Teich;Meer;Fluss
11;Was ist die Hauptzutat in einem Brownie?;Schokolade;Ei;Mehl;Zucker
10;Welcher Monat hat 31 Tage?;Juli;August;Mai;Oktober
9;Wie nennt man einen weiblichen Hasen?;Häsin;Kuh;Fähe;Stute
8;Was ist die Hauptzutat in einem Mojito-Cocktail?;Minze;Rum;Zucker;Limette
7;Welches Instrument hat Tasten und Pedale?;Klavier;Gitarre;Flöte;Trompete
6;Was ist die Hauptzutat in einem Margherita-Pizza?;Tomaten;Mozzarella;Teig;Basilikum
5;Welcher Tag kommt vor Samstag?;Freitag;Donnerstag;Mittwoch;Dienstag
4;Wie nennt man einen männlichen Kanarienvogel?;Hahn;Vogel;Kater;Rüde
3;Was ist die Hauptzutat in einem Erdbeermilchshake?;Erdbeeren;Milch;Zucker;Eiscreme
2;Welches Instrument hat Saiten und wird mit einem Bogen gespielt?;Geige;Gitarre;Cello;Kontrabass
1;Was ist die Hauptzutat in einem Club-Sandwich?;Hähnchen;Speck;Brot;Tomate
0;Wie nennt man das Zuhause von Vögeln?;Nest;Bau;Höhle;Lo
